"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","1,217","58.88%","160","37.56%","1,377","55.23%"
"White","834","40.35%","261","61.27%","1,095","43.92%"
"Hispanic","9","0.44%","4","0.94%","13","0.52%"
"Native American","6","0.29%","0","0.00%","6","0.24%"
"Asian","1","0.05%","1","0.23%","2","0.08%"
"Data Unavailable","0","0.00%","0","0.00%","0","0.00%"
"TOTAL","2,067","100.00%","426","100.00%","2,493","100.00%"
