"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","1,207","59.40%","165","38.02%","1,372","55.64%"
"White","813","40.01%","263","60.60%","1,076","43.63%"
"Hispanic","6","0.30%","5","1.15%","11","0.45%"
"Native American","5","0.25%","1","0.23%","6","0.24%"
"Asian","1","0.05%","0","0.00%","1","0.04%"
"Data Unavailable","0","0.00%","0","0.00%","0","0.00%"
"TOTAL","2,032","100.00%","434","100.00%","2,466","100.00%"
