"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","3,344","63.09%","443","38.62%","3,787","58.74%"
"White","1,913","36.09%","693","60.42%","2,606","40.42%"
"Hispanic","24",".45%","9",".78%","33",".51%"
"Native American","7",".13%","2",".17%","9",".14%"
"Asian","8",".15%","0",".00%","8",".12%"
"Data Unavailable","4",".08%","0",".00%","4",".06%"
"TOTAL","5,300","100.00%","1,147","100.00%","6,447","100.00%"
