"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","4,680","59.33%","366","28.62%","5,046","55.05%"
"White","3,134","817.00%","904","70.68%","4,038","44.05%"
"Hispanic","36",".46%","4",".31%","40",".44%"
"Native American","11",".14%","2",".16%","13",".14%"
"Asian","26",".33%","3",".23%","29",".32%"
"Data Unavailable","1",".01%","0",".00%","1",".01%"
"TOTAL","7,888","100.00%","1,279","100.00%","9,167","100.00%"
