"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","4,546","62.82%","424","34.87%","4,970","58.80%"
"White","2,640","36.48%","778","63.98%","3,418","40.44%"
"Hispanic","27",".37%","10",".82%","37",".44%"
"Native American","8",".11%","2",".16%","10",".12%"
"Asian","14",".19%","1",".08%","15",".18%"
"Data Unavailable","2",".03%","1",".08%","3",".04%"
"TOTAL","7,237","100.00%","1,216","100.00%","8,453","100.00%"
