"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","3,745","64.65%","494","42.04%","4,239","60.84%"
"White","2,010","34.70%","671","57.11%","2,681","38.48%",".40%"
"Hispanic","22",".38%","6",".51%","28"
"Native American","5",".09%","3",".26%","8",".11%"
"Asian","9",".16%","1",".09%","10",".14%"
"Data Unavailable","2",".03%","0",".00%","2",".03%"
"TOTAL","5,793","100.00%","1,175","100.00%","6,968","100.00%"
