"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","1,282","61.81%","152","40.75%","1,434","58.60%"
"White","779","37.56%","214","57.37%","993","40.58%"
"Hispanic","6","0.29%","5","1.34%","11","0.45%"
"Native American","3","0.14%","0","0.00%","3","0.12%"
"Asian","2","0.10%","2","0.54%","4","0.16%"
"Data Unavailable","2","0.10%","0","0.00%","2","0.08%"
"TOTAL","2,074","100.00%","373","100.00%","2,447","100.00%"
