"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","2,216","64.12%","303","41.85%","2,519","60.26%"
"White","1,214","35.13%","414","57.18%","1,628","38.95%"
"Hispanic","16","0.46%","2","0.28%","18","0.43%"
"Native American","5","0.14%","4","0.55%","9","0.22%"
"Asian","2","0.06%","1","0.14%","3","0.07%"
"Data Unavailable","3","0.09%","0","0.00%","3","0.07%"
"TOTAL","3,456","100.00%","724","100.00%","4,180","100.00%"
