RACE,MALE,% OF TOTAL MALE POPULATION,FEMALE,% OF TOTAL FEMALE POPULATION,NO. OF OFFENDERS,% OF TOTAL OFFENDERS
Black,4524,59.50%,379,30.81%,4903,55.50%
White,3006,39.53%,838,68.13%,3844,43.51%
Hispanic,32,0.42%,7,0.57%,39,0.44%
Native American,13,0.17%,3,0.24%,16,0.18%
Asian,25,0.33%,3,0.24%,28,0.32%
Data Unavailable,4,0.05%,0,0.00%,4,0.05%
TOTAL,7604,100.00%,1230,100.00%,8834,100.00%
