COUNTY,OFFENDERS,%
Adams,116,4.89
Alcorn,106,3.3
Amite,41,1.73
Attala,96,2.99
Benton,26,0.81
Bolivar,85,2.65
Calhoun,84,2.62
Carroll,25,0.78
Chickasaw,107,3.33
Choctaw,18,0.56
Claiborne,25,1.05
Clarke,21,0.5
Clay,91,2.17
Coahoma,127,3.95
Copiah,83,3.5
Covington,27,0.65
Desoto,421,13.11
Forrest,378,9.03
Franklin,27,1.14
George,56,1.34
Greene,28,0.67
Grenada,108,3.36
Hancock,59,1.41
Harrison,926,22.13
Hinds,538,22.7
Holmes,50,2.11
Humphreys,27,1.14
Issaquena,1,0.04
Itawamba,54,1.68
Jackson,446,10.66
Jasper,42,1
Jeff Davis,14,0.33
Jefferson,11,0.46
Jones,180,4.3
Kemper,15,0.36
Lafayette,102,3.18
Lamar,117,2.8
Lauderdale,403,9.63
Lawrence,29,0.69
Leake,56,1.34
Lee,392,12.2
Leflore,107,3.33
Lincoln,91,3.84
Lowndes,341,8.15
Madison,352,14.85
Marion,118,2.82
Marshall,146,4.55
Monroe,101,3.14
Montgomery,40,1.25
Neshoba,99,2.37
Newton,50,1.2
Noxubee,18,0.43
Oktibbeha,221,5.28
Panola,131,4.08
Pearl River,147,3.51
Perry,33,0.79
Pike,271,11.43
Pontotoc,135,4.2
Prentiss,114,3.55
Quitman,32,1
Rankin,421,17.76
Scott,97,2.32
Sharkey,14,0.59
Simpson,50,1.2
Smith,17,0.41
Stone,39,0.93
Sunflower,68,2.12
Tallahatchie,40,1.25
Tate,53,1.65
Tippah,49,1.53
Tishomingo,40,1.25
Tunica,95,2.96
Union,87,2.71
Walthall,74,3.12
Warren,147,6.2
Washington,119,3.7
Wayne,66,1.58
Webster,29,0.9
Wilkinson,9,0.38
Winston,44,1.37
Yalobusha,31,0.97
Yazoo,72,3.04
Verification Pending,43,0.44
TOTAL,"9,809",100
