"Race","Male","Female","Total","Percent"
"White","3,076","696","3,772","40.73%"
"Black","4,951","403","5,354","57.81%"
"Hispanic","76","9","85","0.92%"
"Other","47","3","50","0.54%"
"Total","8,150","1,111","9,261","100.00%"
