"Offense","Black","White","Hispanic","Other","Total"
"Capital Rape","1","0","0","0","1"
"Child Molestation","0","3","0","0","3"
"Child Pornography","0","3","0","0","3"
"Entice Child For Indecent Purposes","1","2","0","0","3"
"Exploitation of Child","1","18","1","0","20"
"Failure to Register as Sex Offender","37","21","1","0","59"
"Fondling","12","19","0","0","31"
"Gratification of Lust","5","16","1","0","22"
"Kidnap Minor","0","2","0","0","2"
"Rape","11","1","0","0","12"
"Sexual Battery","66","62","2","2","132"
"Sex Between Teacher and Pupil","0","0","0","0","0"
"Statutory Rape","27","14","5","0","46"
"Unlawful Touching of a Child","13","24","1","0","38"
"Video Voyeurism - Photographing or Filming","0","4","0","0","4"
"Total","174","189","11","2","376"
