"Violation","Jul","Aug","Sep","Oct","Nov","Dec","Jan"
"Federal Inmate","1","0","0","1","0","0","1"
"New Prisoner","310","436","414","455","293","326","342"
"Non-Adjudicated RID","8","11","5","9","8","7","11"
"Probation Revoked","217","280","274","218","173","276","199"
"Return - Abscond","0","0","0","0","0","0","0"
"Return - Escape","2","0","1","0","0","0","0"
"Return - ERS","59","40","54","37","45","34","42"
"Return - House Arrest","39","21","30","39","49","32","25"
"Return - Parole","100","108","103","96","64","48","86"
"Warrant - Other Custody","2","2","1","0","0","0","0"
"Total","738","898","882","855","632","723","706"
