"Offense","Black","White","Hispanic","Other","Total"
"Aggravated Assault","11","12","0","0","23"
"Burglary","49","25","1","1","76"
"Homicide","7","7","0","0","14"
"Manslaughter","6","5","0","0","11"
"Sell/Manufacture/Distribute Drugs","70","25","0","0","95"
"Possession/Drugs with Intent","16","25","1","0","42"
"Possession of Drugs","46","36","0","0","82"
"Property","141","139","3","0","283"
"Robbery","6","0","0","0","6"
"Sex Offense","29","53","1","0","83"
"Violent","12","15","0","0","27"
"Total","393","342","6","1","742"
