"Offense","Average Sentence Length in Years"
"Aggravated Assault","7"
"Burglary","5"
"Possession/Drugs Intent","7"
"Homicide","3"
"Manslaughter","18"
"Property","4"
"Possession of Drugs","5"
"Robbery","11"
"Sell/Manufacture/Distribute Drugs","8"
"Violent","7"
"Sex Offense","8"
