"Age","Male","Female","Total","Percent"
"16","2","0","2","0.52%"
"17","1","0","1","0.26%"
"18-19","14","0","14","3.64%"
"20-29","105","5","110","28.57%"
"30-39","86","3","89","23.12%"
"40-49","85","1","86","22.34%"
"50-59","53","0","53","13.77%"
"60-69","22","0","22","5.71%"
"70-79","8","0","8","2.08%"
"80+","0","0","0","0.00%"
"Total","376","9","385","100.00%"
