"Offense","Average Sentence Length in Years"
"Aggravated Assault","8"
"Burglary","5"
"Homicide","44"
"Manslaughter","17"
"Sell/Manufacture/Distribute Drugs","8"
"Possession/Drugs with Intent","7"
"Possession of Drugs","5"
"Property","4"
"Robbery","9"
"Sex Offense","8"
"Violent","7"
