"Offense","Black","White","Hispanic","Other","Total"
"Sell/Manufacture/Distribute Drugs","763","230","5","1","999"
"Possession/Drugs with Intent","300","304","7","2","613"
"Possession of Drugs","706","449","12","3","1,170"
"Total","1,769","983","24","6","2,782"
