"Offense","Average Sentence Length in Years"
"Aggravated Assault","7"
"Burglary","6"
"Sell/Manufacture/Distribute Drugs","30"
"Property","2.5"
"Robbery","7"
"Sex Offense","7"
"Violent","10"
