"Offense","Male","Female","Total","Percent"
"Aggravated Assault","4","0","4","12.12%"
"Burglary","6","0","6","18.18%"
"Sell/Manufacture/Distribute Drugs","1","0","1","3.03%"
"Property","2","0","2","6.06%"
"Robbery","13","1","14","42.42%"
"Sex Offense","3","0","3","9.09%"
"Violent","3","0","3","9.09%"
"Total","32","1","33","100.00%"
