"Race","Male","Female","Total","Percent"
"White","342","55","397","47.32%"
"Black","393","42","435","51.85%"
"Hispanic","6","0","6","0.72%"
"Other","1","0","1","0.12%"
"Unknown Race","0","0","0","0.00%"
"Total","742","97","839","100.00%"
