"Offense","Average Age at Time of Sentence"
"Capital Rape","57"
"Child Molestation","34"
"Child Pornography","39"
"Entice Child For Indecent Purposes","39"
"Exploitation of Child","46"
"Failure to Register as Sex Offender","43"
"Fondling","38"
"Gratification of Lust","41"
"Kidnap Minor","33"
"Rape","34"
"Sexual Battery","34"
"Sex Between Teacher and Pupil","40"
"Statutory Rape","28"
"Unlawful Touching of a Child","41"
"Video Voyeurism - Photographing or Filming","38"
