"Race","Male","Female","Total","Percent"
"White","983","313","1,296","40.19%"
"Black","1,769","125","1,894","58.73%"
"Hispanic","24","4","28","0.87%"
"Other","6","1","7","0.22%"
"Unknown Race","0","0","0","0.00%"
"Total","2,782","443","3,225","100.00%"
