"Age","Male","Female","Total","Percent"
"16","9","0","9","0.10%"
"17","23","1","24","0.26%"
"18-19","184","3","187","2.02%"
"20-29","3,283","358","3,641","39.32%"
"30-39","2,584","424","3,008","32.48%"
"40-49","1,325","228","1,553","16.77%"
"50-59","618","90","708","7.64%"
"60-69","107","7","114","1.23%"
"70-79","17","0","17","0.18%"
"80+","0","0","0","0.00%"
"Total","8,150","1,111","9,261","100.00%"
