"Age","Male","Female","Total","Percent"
"50-59","618","90","708","84.39%"
"60-69","107","7","114","13.59%"
"70-79","17","0","17","2.03%"
"80+","0","0","0","0.00%"
"Total","742","97","839","100.00%"
