"Age","Male","Female","Total","Percent"
"17","1","0","1","0.03%"
"18-19","9","0","9","0.28%"
"20-29","931","125","1,056","32.74%"
"30-39","1,142","176","1,318","40.87%"
"40-49","480","97","577","17.89%"
"50-59","179","43","222","6.88%"
"60-69","36","2","38","1.18%"
"70-79","4","0","4","0.12%"
"80+","0","0","0","0.00%"
"Total","2,782","443","3,225","100.00%"
