"Offense","Average Sentence Length in Years"
"Capital Rape","15"
"Child Molestation","6"
"Child Pornography","4"
"Entice Child For Indecent Purposes","9"
"Exploitation of Child","7"
"Failure to Register as Sex Offender","2"
"Fondling","6"
"Gratification of Lust","8"
"Kidnap Minor","10"
"Rape","11"
"Sexual Battery","11"
"Sex Between Teacher and Pupil","15"
"Statutory Rape","8"
"Unlawful Touching of a Child","8"
"Video Voyeurism - Photographing or Filming","2"
