"Race","Male","Female","Total","Percent"
"White","188","8","196","50.91%"
"Black","174","1","175","45.45%"
"Hispanic","11","0","11","2.86%"
"Other","2","0","2","0.52%"
"Unknown Race","1","0","1","0.26%"
"Total","376","9","385","100.00%"
