"Race","Male","Female","Total","Percent"
"White","6","0","6","18.18%"
"Black","26","1","27","81.82%"
"Hispanic","0","0","0","0.00%"
"Other","0","0","0","0.00%"
"Unknown Race","0","0","0","0.00%"
"Total","32","1","33","100.00%"
