"Offense","Average Age at Time of Sentence"
"Aggravated Assault","56"
"Burglary","52"
"Possession/Drugs Intent","52"
"Homicide","45"
"Manslaughter","55"
"Property","53"
"Possession of Drugs","53"
"Robbery","50"
"Sell/Manufacture/Distribute Drugs","53"
"Violent","53"
"Sex Offense","57"
