"OFFENSES","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"Aggravated Assault","237","72","6","2","317"
"Burglary","958","629","6","11","1,604"
"Homicide","15","15","0","0","30"
"Manslaughter","104","34","1","0","139"
"Property","1,149","902","12","9","2,072"
"Possession of Drugs","840","415","19","7","1,281"
"Possession of Drugs with Intent","253","358","13","3","627"
"Robbery","376","66","0","1","443"
"Sale of Drugs","916","314","6","3","1,239"
"Sex Offense","187","163","6","0","356"
"Violent","152","97","1","1","251"
"TOTAL","5,187","3,065","70","37","8,359"
