"Offense","Average Age at Time of Offense"
"Aggravated Assault","56.1"
"Burglary","53.3"
"Homicide","37.5"
"Manslaughter","50.6"
"Property","54.2"
"Possession of Drugs","54.3"
"Possession of Drugs with Intent","56.9"
"Robbery","47.9"
"Sale of Drugs","54.3"
"Sex Offense","57.8"
"Violent","54.5"
