"OFFENSES","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"Aggravated Assault","22","10","0","0","32"
"Burglary","29","64","0","1","94"
"Homicide","2","1","0","0","3"
"Manslaughter","7","3","0","0","10"
"Property","185","261","8","0","454"
"Possession of Drugs","50","144","3","1","198"
"Possession of Drugs with Intent","12","78","1","0","91"
"Robbery","17","11","0","0","28"
"Sale of Drugs","70","109","1","0","180"
"Sex Offense","1","7","0","0","8"
"Violent","16","22","1","0","39"
"TOTAL","411","710","14","2","1,137"
