"MALES","BLACK","WHITE","HISPANIC","OTHER","UNK","TOTAL"
"MINIMUM-COMMUNITY","2,174","1,186","7","14","1","3,382"
"MINIMUM-NON-COMMUNITY","2,126","1,269","14","8","0","3,417"
"MEDIUM","7,626","3,525","113","34","0","11,298"
"CLOSE","2,772","623","16","3","0","3,414"
"DR","27","19","0","1","0","47"
"Unclassified","1,193","792","14","5","4","2,008"
"TOTAL","15,918","7,414","164","65","5","23,566"
"PERCENT","67.5%","31.5%","0.7%","0.3%","0.0%","100.0%"
