"SENTENCE LENGTH","MALE AND FEMALE","PERCENT"
"Less than 1 year","722","2.8%"
"1 - 2 Years","2,191","8.5%"
"3 - 5 Years","5,489","21.2%"
"6 - 10 Years","6,868","26.5%"
"11 - 20 Years","5,812","22.4%"
"21 -30 Years","1,728","6.7%"
"Greater Than 30 Years","966","3.7%"
"Life","2,083","8.0%"
"Death","49","0.2%"
"TOTAL","25,908","100%"
