"RACE","Male","Female","Total","Percent"
"White","3,065","710","3,775","39.8%"
"Black","5,187","411","5,598","59.0%"
"Hispanic","70","14","84","0.9%"
"Other","33","2","35","0.4%"
"Unknown Race","4","0","4","0.0%"
