"OFFENSE","Male","Female","Total","Percent"
"Aggravated Assault","2","0","2","4.9%"
"Burglary","11","0","11","26.8%"
"Manslaughter","2","0","2","4.9%"
"Property","2","1","3","7.3%"
"Robbery","19","1","20","48.8%"
"Sex Offense","2","0","2","4.9%"
"Violent","1","0","1","2.4%"
