"Offense",""
"Child Molestation","8.0"
"Child Pornography","3.5"
"Entice Child for Indecent Purposes","2.0"
"Exploitation of Child","9.8"
"Failure to Register as Sex Offender","3.3"
"Fondling","5.5"
"Fondling a Child","10.0"
"Forcible Sexual Intercourse","7.5"
"Gratification of Lust","8.3"
"Kidnap Minor","23.3"
"Peeping Tom","5.5"
"Rape","17.7"
"Sexual Abuse -Vulnerable Adult","5.0"
"Sexual Battery","11.2"
"Statutory Rape","7.5"
"Unlawful Touching of Child","9.0"
"Video Voyeurism - Photographing or Filming","5.0"
