"AGE","MALE","FEMALE","TOTAL","PERCENT"
"15","1","0","1","0.0%"
"16","10","0","10","0.0%"
"17","20","0","20","0.1%"
"18 - 19","238","10","248","1.0%"
"20-29","7,367","641","8,008","30.9%"
"30-39","7,225","737","7,962","30.7%"
"40-49","5,159","557","5,716","22.1%"
"50-59","2,904","361","3,265","12.6%"
"60-69","529","30","559","2.2%"
"70 - 79","99","6","105","0.4%"
"80+","14","0","14","0.1%"
