"","Authorized","Filled"
"Correctional Officer Trainee","543","490"
"Correctional Officer I","239","231"
"Correctional Officer II","191","181"
"Correctional Officer III","159","153"
"Correctional Officer IV","746","566"
"Correctional Supervisor","204","134"
"Correctional Commander","67","59"
"Deputy Warden","10","10"
"Warden","8","7"
"Field Worker","46","43"
"Field Officer I","99","88"
"Field Officer II","40","39"
"Field Officer III","161","147"
"TOTAL","2513","2148"
