"SENTENCE LENGTH","BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"Less than 1 year","435","300","5","6","746","8.50%"
"1 - 2 Years","1032","604","24","11","1,671","19.04%"
"3 - 5 Years","1918","1163","21","9","3,111","35.44%"
"6 - 10 Years","1411","777","27","7","2,222","25.32%"
"11 - 20 Years","569","268","3","3","843","9.60%"
"21 -30 Years","74","20","2","0","96","1.09%"
"Greater Than 30 Years","20","5","1","0","26","0.30%"
"Life","43","11","0","0","54","0.62%"
"Death","3","4","0","0","7","0.08%"
"Verification Pending","1","0","0","0","1","0.01%"
"TOTAL","5,506","3,152","83","36","8,777","100.00%"
