"Authorized Positions","","","Filled Positions",""
"State Prisons","2374","","State Prisons","2015"
"Administrative","352","","Administrative","315"
"Community Corrections","616","","Community Corrections","531"
"TOTAL","3342","","TOTAL","2861"
