"Offense","Average Sentence Length in Years"
"Aggravated Assault","1.00"
"Burglary","1.91"
"Manslaughter","25.00"
"Property","4.00"
"Robbery","5.20"
"Sex Offense","16.50"
"Violent","1.00"
