"OFFENSE","Male","Female","Total","Total"
"Aggravated Assault","1","0","1","11.1%"
"Burglary","4","0","4","44.4%"
"Property","2","0","2","22.2%"
"Sex Offense","1","0","1","11.1%"
"Violent","1","0","1","11.1%"
"Total","9","0","9","100.0%"
