"Offense","Average Age at Time of Offense"
"Aggravated Assault","17.16"
"Burglary","17.55"
"Manslaughter","15.81"
"Property","16.95"
"Robbery","16.61"
"Sex Offense","16.76"
"Violent","16.01"
