"MALE OFFENSES","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"Possession of Drugs","873","481","11","7","1,372"
"Sale of Drugs","919","300","5","5","1,229"
"TOTAL","1,792","781","16","12","2,601"
