"Program Area","Enrollment Capacity","Program Length"
"ABE Literacy","10",""
"Advanced Computer","10","6 Weeks"
"Anger Management","20","12 Weeks"
"Basic Computer","10","6 Weeks"
"Basic Construction","15","36 Weeks"
"Computer Keyboard","10","6 Weeks"
"GED","25",""
