"","Authorized Positions","Filled Positions"
"Central Mississippi Correctional Facility","830","692"
"Mississippi State Penitentiary","971","853"
"South Mississippi Correctional Institution","573","470"
"TOTAL STATE PRISONS","2374","2015"
