"AGE","Male","Female","Total","Percent"
"17","1","0","1","0.3%"
"18 - 19","3","0","3","0.8%"
"20-29","97","3","100","27.5%"
"30-39","102","2","104","28.6%"
"40-49","79","2","81","22.3%"
"50-59","50","1","51","14.0%"
"60-69","18","0","18","4.9%"
"70 - 79","3","0","3","0.8%"
"80+","3","0","3","0.8%"
