"Program Area","Enrollment Capacity","Program Length"
"ABE","35","25 Weeks"
"Building Trades","15","15 Weeks"
"English Literacy","15","25 Weeks"
"GED","35","25 Weeks"
"Life Skills","25","25 Weeks"
