"Month","Parolees","Probationers","Total"
"JUL","512","1,940","2,452"
"AUG","506","1,947","2,453"
"SEP","509","1,938","2,447"
"OCT","505","1,945","2,450"
"NOV","504","1,944","2,448"
"DEC","489","1,947","2,436"
"JAN","490","1,920","2,410"
"FEB","482","1,920","2,402"
"MAR","458","1,955","2,413"
"APR","482","1,941","2,423"
"MAY","485","1,934","2,419"
"JUN","489","1,935","2,424"
