"AGE","MALE","FEMALE","TOTAL","PERCENT"
"16","10","0","10","0.1%"
"17","29","2","31","0.3%"
"18 - 19","401","21","422","4.2%"
"20-29","3,675","410","4,085","40.6%"
"30-39","2,647","413","3,060","30.4%"
"40-49","1,370","227","1,597","15.9%"
"50-59","611","95","706","7.0%"
"60-69","107","13","120","1.2%"
"70 - 79","20","1","21","0.2%"
"80+","1","0","1","0.0%"
"Totals","8,871","1,182","10,053","100.0%"
