"RACE","Male","Female","TOTAL","PERCENT"
"White","3,199","721","3,920","39.0%"
"Black","5,558","452","6,010","59.8%"
"Hispanic","67","7","74","0.7%"
"Other","47","2","49","0.5%"
"Total","8,871","1,182","10,053","100%"
