"Offense","Average Sentence Length in Years"
"Aggravated Assault","7.5"
"Burglary","4.9"
"Homicide","46.4"
"Manslaughter","17.0"
"Property","3.5"
"Possession of Drugs","4.5"
"Possession of Drugs with Intent","6.5"
"Robbery","8.0"
"Sale of Drugs","7.5"
"Sex Offense","7.2"
"Violent","7.7"
