"AGE","MALE","FEMALE","TOTAL","PERCENT"
"16","2","0","2","0.0%"
"17","7","0","7","0.1%"
"18 - 19","179","10","189","2.0%"
"20-29","3,228","360","3,588","37.8%"
"30-39","2,603","394","2,603","27.4%"
"40-49","1,475","249","1,475","15.5%"
"50-59","727","107","727","7.7%"
"60-69","115","17","115","1.2%"
"70 - 79","18","0","18","0.2%"
"80+","5","0","5","0.1%"
