"Sentence Length","Black","White","Hispanic","Other","Total"
"Less than 1 Year","477","337","3","4","821"
"1 - 2 Years","1,039","574","20","12","1,645"
"3 - 5 Years","2,059","1,200","21","11","3,291"
"6 - 10 Years","1,694","940","20","7","2,661"
"11 - 20 Years","783","348","6","2","1,139"
"21 - 30 Years","105","44","1","0","150"
"Greater than 30 Years","33","4","0","0","37"
"Life","25","8","0","0","33"
"Death","0","0","0","0","0"
"Verification Pending","1","1","0","0","2"
"Total","6,216","3,456","71","36","9,779"
