"Offense","Average Sentence Length in Years"
"Capital Rape","15"
"Child Molestation","12"
"Child Pornography","3"
"Entice Child for Indecent Purpose","2"
"Exploitation of Child","5"
"Fail to Register as Sex Offender","2"
"Fondling","3"
"Fondling a Child","6"
"Gratification of Lust","3"
"Kidnap Minor","4"
"Rape","26"
"Sex Assault","20"
"Sex Offense","10"
"Sexual Battery","7"
"Statutory Rape","6"
"Unlawful Touching of a Child","6"
"Video Voyeurism","0"
