"Race","Male","Female","Total","Percent"
"White","431","76","507","42.00%"
"Black","644","45","689","57.08%"
"Hispanic","6","0","6","0.50%"
"Other","5","0","5","0.41%"
"Total","1,086","121","1,207","100.00%"
