"Race","Male","Female","Total","Percent"
"White","1,269","363","1,632","39.13%"
"Black","2,355","148","2,503","60.01%"
"Hispanic","28","3","31","0.74%"
"Other","5","0","5","0.12%"
"Total","3,657","514","4,171","100.00%"
