"Offense","Average Age at Time of Offense"
"Capital Rape","26"
"Child Molestation","37"
"Child Pornography","56"
"Entice Child for Indecent Purpose","49"
"Exploitation of Child","39"
"Fail to Register as Sex Offender","42"
"Fondling","37"
"Fondling a Child","33"
"Gratification of Lust","39"
"Kidnap Minor","27"
"Rape","35"
"Sex Assault","39"
"Sex Offense","36"
"Sexual Battery","33"
"Statutory Rape","36"
"Unlawful Touching of a Child","39"
"Video Voyeurism","45"
