"Race","Male","Female","Total","Percent"
"White","3,456","832","4,288","38.58%"
"Black","6,216","497","6,713","60.39%"
"Hispanic","71","6","77","0.69%"
"Other","36","2","38","0.34%"
"Total","9,779","1,337","11,116","100.00%"
