"County","Offenders","Percent"
"Adams","1","12.50%"
"Calhoun","1","12.50%"
"Harrison","1","12.50%"
"Lamar","2","25.00%"
"Lauderdale","1","12.50%"
"Pike","1","12.50%"
"Unknown","1","12.50%"
"Total","8","100.00%"
