"Age","Male","Female","Total","Percent"
"16-17","1","0","1","0.31%"
"18-19","1","0","1","0.31%"
"20-29","68","2","70","22.01%"
"30-39","89","2","91","28.62%"
"40-49","68","1","69","21.70%"
"50-59","50","0","50","15.72%"
"60-69","23","0","23","7.23%"
"70-79","12","0","12","3.77%"
"80+","1","0","1","0.31%"
"Total","313","5","318","100.00%"
