"Race","Male","Female","Total","Percent"
"White","145","4","149","46.86%"
"Black","161","0","161","50.63%"
"Hispanic","7","0","7","2.20%"
"Other","0","1","1","0.31%"
"Total","313","5","318","100.00%"
